type	fname	year	month	day	positive	negative	x	y
10q/k-ex311	2010-1-25-10k-ex311.txt	2010	1	25	0.07363340025171014	0.10750289319131423	5.078165534600698E-4	7.413992633883738E-4
10q/k-ex312	2010-1-25-10k-ex312.txt	2010	1	25	0.021989886229739533	0.03760909102755792	1.516543877913071E-4	2.5937304156936495E-4
10q/k-ex321	2010-1-25-10k-ex321.txt	2010	1	25	0.1602200961912552	0.2404726870593525	6.162311391971354E-4	9.248949502282789E-4
10q/k-ex312	2010-1-25-10q-ex312.txt	2010	1	25	0.10761796845025895	0.1626527279158822	2.1226423757447524E-4	3.2081405900568483E-4
10q/k-ex321	2010-1-25-10q-ex321.txt	2010	1	25	0.11561856062629339	0.18661954480072512	4.588038120091007E-4	7.405537492092265E-4
10q/k-ex312	2010-4-21-10q-ex312.txt	2010	4	21	0.10761796845025895	0.1626527279158822	2.131048880203147E-4	3.220846097344202E-4
10q/k-ex321	2010-4-21-10q-ex321.txt	2010	4	21	0.11561856062629339	0.1866195448007251	4.588038120091007E-4	7.405537492092265E-4
10q/k-ex312	2010-7-21-10q-ex312.txt	2010	7	21	0.10761796845025892	0.1626527279158822	2.1226423757447524E-4	3.2081405900568483E-4
10q/k-ex321	2010-7-21-10q-ex321.txt	2010	7	21	0.11561856062629339	0.1866195448007251	4.588038120091007E-4	7.405537492092264E-4
10q/k-ex312	2011-1-19-10q-ex312.txt	2011	1	19	0.10761796845025895	0.16265272791588223	2.1226423757447524E-4	3.208140590056849E-4
10q/k-ex321	2011-1-19-10q-ex321.txt	2011	1	19	0.11561856062629339	0.1866195448007251	4.588038120091007E-4	7.405537492092265E-4
10q/k-ex312	2011-4-21-10q-ex312.txt	2011	4	21	0.10761796845025892	0.1626527279158822	2.1226423757447524E-4	3.2081405900568483E-4
10q/k-ex321	2011-4-21-10q-ex321.txt	2011	4	21	0.11561856062629339	0.1866195448007251	4.588038120091007E-4	7.405537492092265E-4
10q/k-ex312	2011-7-20-10q-ex312.txt	2011	7	20	0.10761796845025892	0.1626527279158822	2.1226423757447524E-4	3.2081405900568483E-4
10q/k-ex321	2011-7-20-10q-ex321.txt	2011	7	20	0.11561856062629339	0.1866195448007251	4.588038120091007E-4	7.405537492092264E-4
10q/k-ex312	2009-10-27-10k-ex312.txt	2009	10	27	0.11876835234149938	0.17611601348053907	2.3379596917617992E-4	3.4668506590657296E-4
10q/k-ex321	2009-10-27-10k-ex321.txt	2009	10	27	0.1602200961912552	0.2404726870593525	6.332810126136569E-4	9.504849290883498E-4
10q/k-ex311	2010-10-27-10k-ex311.txt	2010	10	27	0.17041186636347	0.24600981564429536	3.361180796123669E-4	4.8522646083687447E-4
10q/k-ex312	2010-10-27-10k-ex312.txt	2010	10	27	0.11876835234149938	0.17611601348053904	2.34257105210058E-4	3.473688628807476E-4
10q/k-ex321	2010-10-27-10k-ex321.txt	2010	10	27	0.16022009619125518	0.24047268705935249	6.383270764591842E-4	9.580585141806873E-4
earnings-statement	2006-1-19-1Q06-earnings-transcript.txt	2006	1	19	1.7590950795818276	3.271811334009044	2.0108540004364742E-4	3.7400678257990905E-4
earnings-statement	2006-4-20-2Q06-earnings-transcript.txt	2006	4	20	2.1838456949371303	3.1023805537696734	2.2168771646910264E-4	3.149305201268575E-4
earnings-statement	2006-7-19-3Q06-earnings-transcript.txt	2006	7	19	0.739087482836864	1.1409530224573612	8.996804416760366E-5	1.3888655172944142E-4
earnings-statement	2007-1-17-1Q07-earnings-transcript.txt	2007	1	17	1.4194690626984174	4.394746979433271	1.4978042235922942E-4	4.637276542611872E-4
earnings-statement	2007-4-25-2Q07-earnings-transcript.txt	2007	4	25	2.2683844017623778	2.967302101045287	2.7329932551353953E-4	3.575062772343719E-4
earnings-statement	2007-7-25-3Q07-earnings-transcript.txt	2007	7	25	3.2323450257148147	4.121575254613758	3.911829875002802E-4	4.987988932123633E-4
earnings-statement	2008-1-22-1Q08-earnings-transcript.txt	2008	1	22	2.432681122255828	5.1009237901041065	2.628504724209431E-4	5.511532998491741E-4
earnings-statement	2008-4-23-2Q08-earnings-transcript.txt	2008	4	23	2.127216932119635	2.853767570324653	2.346367672754947E-4	3.147769215006235E-4
earnings-statement	2008-7-21-3Q08-earnings-transcript.txt	2008	7	21	3.3081756661338324	6.111197487409029	3.400673998904022E-4	6.282069785576715E-4
earnings-statement	2009-1-21-1Q09-earnings-transcript.txt	2009	1	21	1.8490889886772044	2.7421822828992	1.9406895347157897E-4	2.878025066015113E-4
earnings-statement	2009-4-23-2Q09-earnings-transcript.txt	2009	4	23	1.6440390785208725	2.163984213392992	1.855365171561756E-4	2.4421444683365214E-4
earnings-statement	2009-7-21-3Q09-earnings-transcript.txt	2009	7	21	2.1749479003821635	3.1828187192265025	2.386381281964191E-4	3.4922303261208053E-4
earnings-statement	2010-1-25-1Q10-earnings-transcript.txt	2010	1	25	1.445520247269194	1.9192541572536483	1.6643871586288935E-4	2.209849346290902E-4
earnings-statement	2010-4-20-2Q10-earnings-transcript.txt	2010	4	20	1.824591318321521	2.4013543549361054	2.137524974603469E-4	2.8132080071885016E-4
earnings-statement	2010-7-20-3Q10-earnings-transcript.txt	2010	7	20	2.0593581837384827	2.6242611690861555	2.136928695380806E-4	2.7231100644247754E-4
earnings-statement	2011-1-18-1Q11-earnings-transcript.txt	2011	1	18	2.196808250121362	3.8788350111218195	2.3756983347262485E-4	4.1946955889713637E-4
earnings-statement	2011-4-20-2Q11-earnings-transcript.txt	2011	4	20	2.4295341845852185	3.2952347908115978	2.7154735493296287E-4	3.6830611275417426E-4
earnings-statement	2011-7-19-3Q11-earnings-transcript.txt	2011	7	19	2.062958786552433	2.906100609774107	2.2845612254179768E-4	3.218273100525036E-4
earnings-statement	2012-1-24-1Q12-earnings-transcript.txt	2012	1	24	2.4955505424568676	3.3070779448713568	2.6565366643143144E-4	3.520415099926929E-4
earnings-statement	2012-4-24-2Q12-earnings-transcript.txt	2012	4	24	2.301490987256401	3.1321963271214095	2.4444938791889546E-4	3.3268150049085593E-4
earnings-statement	2012-7-24-3Q12-earnings-transcript.txt	2012	7	24	2.434210770218269	3.3149200583852	2.590964098156752E-4	3.528387502272698E-4
earnings-statement	2013-1-23-1Q13-earnings-transcript.txt	2013	1	23	1.5796511173500651	2.1006309187567	1.610902628339858E-4	2.1421893929805225E-4
earnings-statement	2013-4-23-2Q13-earnings-transcript.txt	2013	4	23	1.4535221833599192	2.5273677564408845	1.6383252743010815E-4	2.848701258386931E-4
earnings-statement	2006-10-19-4Q06-earnings-transcript.txt	2006	10	19	1.185694626904074	1.5850853036304033	1.585153244524163E-4	2.119097999505887E-4
earnings-statement	2007-10-22-4Q07-earnings-transcript.txt	2007	10	22	2.1156246061846935	2.830176302935771	2.6491667996302195E-4	3.5439222425942546E-4
earnings-statement	2008-10-21-4Q08-earnings-transcript.txt	2008	10	21	2.394000662804484	3.1717024152515494	2.483918512974148E-4	3.290830478576001E-4
earnings-statement	2009-10-19-4Q09-earnings-transcript.txt	2009	10	19	1.8592728851036797	2.5039784547322244	2.170273007007914E-4	2.922818319986254E-4
earnings-statement	2010-10-18-4Q10-earnings-transcript.txt	2010	10	18	2.4786766613618125	3.450355346593147	2.611882677936578E-4	3.635780133396361E-4
earnings-statement	2011-10-18-4Q11-earnings-transcript.txt	2011	10	18	3.0322175448468673	3.996188151738298	3.0653230336098535E-4	4.0398181881705396E-4
earnings-statement	2012-10-25-4Q12-earnings-transcript.txt	2012	10	25	2.4671640093621643	3.336014568601914	2.5777494612497795E-4	3.4855444244090623E-4
